VS Caster / Walpurgisnacht,5dsr7k5csd7foru1mg798rei1b.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 13: Treino de espada ~ Almoço / Saber (IV),027d4r0es60h51k4gmakbbdbnr.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
"Dia 13: Noite, reunião / Dez anos atrás (I)",33q44m8n5jvvh03uk37jbcte8s.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
VS Caster / Marca da bruxa,3a4gkqqmeq8lrr6lebkuk4jatk.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,, ,,
VS Caster / O oitavo Servo,2d809uelccmk9lr5m48nld3fon.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 13: Noite profunda ~ Para a igreja / Dez anos atrás (II),2bafd4sb0vb91rteu57fofdcrh.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 13: Café da manhã / Doces,62u22b4mr137llpa121geqile9.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 13: Tarde / O mal-entendido da Srta. Tohsaka ~ A contradição da Saber,368vpi14eop78cdltdo5brmvjr.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 13: Noite profunda / You're My Only Star,3gbqnr1b1t6c103ae9fhdo3ddu.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 9,3mgoa882gb9bbqk30roftvpd9r.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 10,71eau95trtskcohp9dm020fr6l.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Encontro / O rei mais antigo,366qr9q06a8k73n2pm4rtrbab2.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
VS Gilgamesh / O que eu quero proteger,6jb3au8r93hsr3mvfc861lvcol.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Gilgamesh / Uma conclusão,3tedsmus4rmngehgo21mth22g0.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Gilgamesh / Desejo,6lt8uoqnslkil2tkdvt9ocb3b8.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 14: Manhã ~ encontro / Carrossel,1pbpvpgiap6mj3s4og7dr5lep9.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 14: Encontro / Presente,6e0jivc5ko5cefurto2v0r208e.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 14: Encontro / Garoto conhece garota (V),0qvnshea1t99sun2o3nn2f94kn.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 14: Retorno para casa / Despedida na ponte,0ribu4ufjt58blqpvr58s7n3ud.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 14: Noite ~ Para a cidade / Último Garoto Conhece Garota,66ins7d47vsu1151mn2jrqttj5.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
"Dia 14: Noite, quarto / O que foi ganho",788q5u2n8optqujvjkljci5dk1.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Tiger Dojo 11,38tm0n8v242kkslnovn5fhhp0s.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
Dia 15: Levantando ~ para a igreja / Escada em Espiral,1o2k1jd83tp95oioo4sgovlg11.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
Dia 15: Manhã / Limite de Tempo,7cm5bi5sb775imqdarg4papbmr.epk_dec,PH,Revisado,FATE,Eii_Izumi,,,,,
"Dia 15: Porão da igreja / O preço da sobrevivência, acertando dívidas",3tm6uh8bnnjc6q4s70jti6krgc.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 15: Porão da igreja / O que não pode mudar,0mouobbj25ptf2nifj6n1l1lo8.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 15: Noite / Antes da batalha decisiva,2iu5bl7247fuen1e1jaca3io4i.epk_dec,daiso,Revisado,FATE,Eii_Izumi,Testar linha 39 novamente,,,,
Dia 15: Noite / Lição final,4v0o1u9fs9tbh3g86orhhd80ge.epk_dec,Cão,Revisado,FATE,Eii_Izumi,,,,,
Dia 15: Noite / Determinação,5j2dahc3vkkpsg7vughkt2kejj.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 15: Dentro do galpão / Reunião estratégica,5lmh0vgg20fn469ebm97k1vtsr.epk_dec,daiso,Revisado,FATE,,,,,,
"Dia 15: Noite, galpão / Trunfo desconhecido",0oaetf5i3j58b5tphgnou968sh.epk_dec,daiso,Revisado,FATE,,,,,,
"Dia 15: Noite, galpão / Trunfo desconhecido",16n52sarojs4c2o201ud0ckl4b.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 15: Noite / Devolvendo a Espada Sagrada,6d9dnqo7a04p3dfjflr0emoh4t.epk_dec,daiso,Revisado,FATE,,,,,,
Fate/stay night (I),36tp818cqc5i7q0qfcc4gsndaa.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 15: Batalha decisiva / Completando o Santo Graal,6cnhoj4g4j9uab82gu4ju8u8qs.epk_dec,Cão,Revisado,FATE,,,,,,
Fate/stay night (II),7ona6325spqr5jg07tibrg91tk.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 15: Retorno para casa ~ Rin / Decisão,4a84diq6244mgmcbe5uva8et23.epk_dec,daiso,Revisado,FATE,,,,,,
Pergunta / Assentir,0b45ppmi5v0q6560css64co4h4.epk_dec,daiso,Revisado,FATE,,,,,,
Pergunta / Perguntar,4ovipkdged26gvmmjv1hsiug51.epk_dec,daiso,Revisado,FATE,,,,,,
Separação dourada.,6gbi9gjqh44fpdfngfd5s31o8d.epk_dec,daiso / Cão,Revisado,FATE,,,,,,
"Interlúdio / Saber, para a igreja",6cj4du39m7ggc4lq9fde6rbseh.epk_dec,Cão,Revisado,FATE,,,,,,
Dia 15: Porão da igreja / Lágrimas silenciosas,71eftfam795ds7oi89fj2lf30t.epk_dec,Cão,Revisado,FATE,,,,,,
Interlúdio / Discórdia,59opvpus1pkluerf6lcrchtugo.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 15: Igreja / Erro persistente,25499fnea4tbp86hih0i25mpkd.epk_dec,daiso,Revisado,FATE,,,,,,
Dia 15: Fuga ~ Cemitério estrangeiro / Estrela brilhante,4cg8tt0oeihas18v0uvktcui38.epk_dec,daiso,Revisado,FATE,,,,,,
Tiger Dojo 12,6ids2c6le4ubudnhguqm4j6lta.epk_dec,daiso,Revisado,FATE,,,,,,
Tiger Dojo 13,2bmbrfce730m9ct5eg9812i33l.epk_dec,daiso,Revisado,FATE,,,,,,
Tiger Dojo 14,2pr9ii3ef7n8jon1f2gui2eoqn.epk_dec,daiso,Revisado,FATE,,,,,,
Fate / True End,46hemeh77jjsiv82vkljdobkr7.epk_dec,daiso,Revisado,FATE,Eii_Izumi,,,,,
VS Berserker / Decisão,1r88m97dc9biv192332pkji9e9.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Indo a algum lugar,1n13fjmaqd3dp46c9vsiqacbcp.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Terceira morte,7mhfvdorohu13dt6691fkg6pad.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Batalha equilibrada ~ Sniping do Archer,50vulvb44idqpoq57qt6ei6c4s.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Terceira morte,16h7k2cacmpmadpvusp9og1fe4.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Batalha equilibrada ~ Sniping do Archer,4n00ksvo1mps1mv291j0jj3rts.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Chamando-a de volta,0cvfo51098cp2oi5lb2ci1v84o.epk_dec,Cão,Revisado,UBW,,,,,,
VS Berserker / Distorção (II),4dakclpipnl1ke41ilimutnphg.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 3: Noite / Primeiro Selo de Comando,79f3soj4bb6nq4ddc0np679cj2.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 3: Noite ~ Rin ~ Igreja / Registro de Mestre,4tct62k3ds9n93l6401esirdud.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 3: Noite ~ Retorno ~ Illya / Outra noite ~ VS Berserker,6s8ka5momnb2mtsqic3j7q715e.epk_dec,Cão,Revisado,UBW,,,,,,
Tiger Dojo 15,45je314pgp0tvo12glp4ghvuk7.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 4: Acordando ~ Meu quarto / Desentendimento com Rin ~ Saber,0uv9tt72cun1o0ffsjvb4cid29.epk_dec,Cão,Revisado,UBW,,,,,,
Conversa / Ponto cego ileso,10nkp3pjk7d6gqjcgvd8le8uad.epk_dec,Cão,Revisado,UBW,,,,,,
Conversa / Regeneração,5o9tn7a0dn1f29q1q22d5tetbd.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 4: Tarde - escola / Assassinato por telefone Fuji,1a39d2jf8s4virm49prklnfmd4.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 4: Estande de arco e flecha / Tiro em pé,2i1k3fv2npon7v1dt00ok644a5.epk_dec,Cão,Revisado,UBW,sophia,,,,,
Dia 4: Sala do conselho / Este fôlego,5i5s56lp5t0cm20h1sufh4t8pb.epk_dec,Cão,Revisado,UBW,sophia,,,,,
Dia 4: Tour pela escola / Não brinque com sua bainha,5vq34cnje0fpad32s2rbkrv21t.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 4: Retorno ~ Jantar / Apresentando Saber aos outros ~ Aliança feminina?,5e6pdqfjp0ri85ppm52h9ee2ju.epk_dec,Cão,Revisado,UBW,,,,,,
"Dia 4: Noite ~ Sono / Treino, meditação",3bevba22do2rleco3ot51gjaa0.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 4: Dojo ~ Telefone / Acerto da Saber ~ Erro ainda não visto,7fvd7tk3tpgau1hgijrs6a4hl7.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 4: Sono / Treino de Magia,5skde1g25peemcnv2bqhu0ldc2.epk_dec,Cão,Revisado,UBW,,,,,,
Interlúdio / Rin Tohsaka (II),3t5c1bj4uiokrq20mfvht7k269.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 5: Escola / O preço do orgulho,1gsinaebhtoejn17rhbfj9cl3n.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 5: Manhã / Decisão.,14vbrsp3pjn09bnbf9enpovp18.epk_dec,PH,Revisado,UBW,,,,,,
Dia 5: Manhã / Verificar Saber,7v9ikb32oi6ms8dc4d87vfmbif.epk_dec,PH,Revisado,UBW,,,,,,
Dia 5: Manhã / Preparar café com a Sakura,7k3hmlaledrqopptl0bc8d0srl.epk_dec,PH,Revisado,UBW,sophia,,,,,
Dia 5: Manhã / O passeio selvagem da Fuji-nee,65pqb3eic601kmf385tekpdokf.epk_dec,PH,Revisado,UBW,sophia,,,,,
Dia 5: Após a escola / Rin Tohsaka (III),2v1jp75e8hhdvlitshro0fr37j.epk_dec,PH,Revisando,UBW,,,,,,
Dia 5: Após a escola / Textura,56uqepnu51qcphfvcu67837ge7.epk_dec,PH,Não Checado,UBW,sophia,,,,,
VS Rin Tohsaka / Panic sonic coaster,1p8qa6klogv98otv9jlhfv5mu9.epk_dec,PH,Revisando,UBW,,,,,,
Dia 5: Competição de encarar ~ Para o arvoredo / Pendurado ~ VS Rider,3n8cg9g6ta9kric5eggi4vr625.epk_dec,PH,Revisando,UBW,,,,,,
VS Rider / Cativa da aranha,5ljhpim3b0j3b13008te1pm5n3.epk_dec,PH,Revisando,UBW,sophia,,,,,
VS Rider / Contra-ataque,51a0ditkmus000jmr2an3kajgh.epk_dec,PH,Não Checado,UBW,sophia,,,,,
VS Rider / Luta difícil,3ralcednf361fl1g4b12vcnc3j.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Arvoredo ~ Casa Tohsaka / Cura da Rin,42dtll9nsgi7beamj0o7jvtout.epk_dec,Cão,Não Checado,UBW,sophia,,,,,
Dia 5: Quarto da Rin / Corpo com autorregeneração,6snicpim07p59va65gdsd86vl2.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Quarto da Rin / Totalmente curado,5ah25d82vs6j0tf3ht824jihir.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Noite / Dizer para a Saber que estou trabalhando com a Rin.,2chppr5n53atctrs0p8u0rnrl3.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Sono / Aviso,2d9kfnra4375sghasc5f5nc6b3.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Sono / Acordo,1o20poi1133qmnv0f6a1hgmhvj.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Sono ~ Trajeto escolar / Vida cotidiana (II),6jafnfgm9ohr6vek000snku7h9.epk_dec,PH,Revisado,UBW,,,,,,
"Dia 5: Manhã, escola / Rin Tohsaka, Ayako Mitsuzuri",5q1a5ua4a6o6bm9ggtgtopdfor.epk_dec,PH,Revisado,UBW,,,,,,
Dia 5: Quarto da Rin / Aliança formada,1anbn9aiupvu51mafievb6mnpi.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Retorno / Definição de herói,5otrp3b2esg96mq8itpk4l36uk.epk_dec,PH,Não Checado,UBW,,,,,,
Dia 5: Jantar / Jantar de hoje,0a8u9l3oaor9ro6v751ec0ue7b.epk_dec,PH,Não Checado,UBW,,,,,,
Tiger Dojo 16,3t8s300i6sef00qrlukaiek2sl.epk_dec,PH,Revisado,UBW,sophia,,,,,
Tiger Dojo 17,28j499h5jrbggjjmnjlkhbsauu.epk_dec,PH,Revisando,UBW,sophia,,,,,
"Dia 6: Retorno, antes do jantar / O agachamento de 3 minutos da Fuji-nee",37687fu53hbcndoecdo9aot62h.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 6: Antes do jantar / Tigela de okonomiyaki proibida,5t7o19717e1t8vf11igl8ed7sm.epk_dec,Cão,Revisado,UBW,sophia,,,,,
Dia 6: ~ Casa Matou / A família Matou,5s928u86ggmeed8mdmndth99nr.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 6: ~ Dojo / Relatório de hoje,3s6uvuna36kedovnjrp3310fgq.epk_dec,Cão,Revisado,UBW,,,,,,
"Dia 6: Após o jantar, treino de espada / Tiger Dojo, capítulo extra",2s1kim5917l3gj80u669qscgmm.epk_dec,Cão,Revisado,UBW,,,,,,
"Dia 6: Após o jantar, treino de espada / Tempo de paz",64alt2uuvfqb841jd6fe2mljok.epk_dec,Cão,Revisado,UBW,sophia,,,,,
Dia 6: Noite profunda / Chamando,1jjnsg8shhpsp0blq0r3r8tep6.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 6: Manhã ~ Escola / Shinji e Mitsuzuri,3aobiqeefbf15iqk8nl98ri212.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 6: Após a escola / Busca por Campo Limitado,7blb2v6cuqb9nhirp8i0u1fqub.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 6: Após a escola / Mestre identificado,5106hm6a9l99jkrsmbtn7veqou.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 6: Terrenos do Templo Ryudou / Archer VS Caster,4mp1p2uuhaeoclcl727gf4gcs6.epk_dec,Cão,Revisado,UBW,,,,,,
"Dia 6: Terrenos do Templo Ryudou / Caia, sua mente",65r9rhvcns8prudsorhf5c0fh2.epk_dec,Cão,Revisado,UBW,,,,,,
Interlúdio / Uma história.,3irui9tiljmoa85t78uuhmcgu3.epk_dec,Cão,Revisado,UBW,,,,,,
Interlúdio / Saber VS Assassin,3rvuh6q6j7ngpcu8pi6ra8vq6d.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Escola ~ Intervalo / Sombra maligna rastejante,3m6u4pvqhdh17982d7rf4jo4lv.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Intervalo / Decisão sábia,3ou35us5i7hgc2m3n6bnl3ncrj.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Intervalo / Atirador de projéteis mágicos,5j1n3ucd7h09v71ujd1fanii67.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Intervalo / Atirador de projéteis mágicos,1bp6tr11udh426coto6i7obolh.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Ativação do Campo Limitado / Decisão,5s11doaikuidp9m7n04q8ombnd.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Blood Fort Andromeda / Aviso da Rin,59c004fgehkmimsecj5ibkc3ns.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Blood Fort Andromeda / Segundo Selo de Comando,49t29ti1b23p737ghvla9ta2rm.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Retorno ~ Sono / Pensamentos noturnos,4dp666q0nv16b1hk2mrmk3n3fl.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Blood Fort Andromeda / Morte da Rider,5tt3g1jl83l45vn0oc4ken39ku.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: ~ Arvoredo / Discussão,0cjv3oqc7e4qot2na4i8ka3i16.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Manhã ~ Treino de espada / Saber está de mau humor,6lielogua3iejr6p8e9941jju3.epk_dec,Cão,Revisado,UBW,,,,,,
Dia 7: Telhado / Rin Tohsaka (IV),7u7uvtlb8ublq9kge0r15vafdb.epk_dec,Cão,Revisado,UBW,,,,,,
"Dia 8: Intervalo de almoço - Sala do conselho / Issei é inocente, mas...?",6ubskhcf0kkstp1iv74rgfsp5f.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 8: Sala do conselho / Hypnos,68g1qu8phm64h2inqisluc7lfe.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 8: Após a escola / Decisão.,6mch991url74rot1ba9e32lpss.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 8: Após a escola ~ Casa Matou / Dupla suspeita,1g9fpdl7p1qclb0cj78gqq06vl.epk_dec,Cão,Revisando,UBW,sophia,,,,,
Dia 8: Após a escola ~ Retorno / Telefonema,6mooc9nmto4otcfk11nh9hjlbb.epk_dec,Cão,Revisando,UBW,sophia,,,,,
Dia 8: Após a escola ~ Distrito comercial / Empregada estranha,281p48prb6b53fsmmk4935f98v.epk_dec,Cão,Revisando,UBW,sophia,,,,,
Dia 8: Jantar ~ Sono / Motivo,599nlevuim91v49pf4p03g69bb.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 8: Manhã ~ Trajeto escolar / Lady Rin está descontente,4ndbkab5kspnrbd6vd3aep11il.epk_dec,Cão,Revisando,UBW,,,,,,
Interlúdio / Uma história.,6dbfctm9783npokvtgen9ir6r4.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 8: Sala do conselho / Não investigue,7jjqcm3320lrlpjrnufv5odu03.epk_dec,Cão,Revisando,UBW,,,,,,
Interlúdio / Abençoe este perdedor mais uma vez,0glo60e4f79o7bnnltpjdoo520.epk_dec,Cão,Revisando,UBW,,,,,,
Tiger Dojo 18,6btefg6ma53jc4qb5gqhbmmcm6.epk_dec,Cão,Revisando,UBW,sophia,,,,,
"Dia 9: Noite / Emboscada, execução",0gbnhvdui69n5ev5pp5nquj418.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 9: Noite ~ Emboscada / Pare-a,654g2n488939q3k1c5cbv8m8m1.epk_dec,Cão,Revisando,UBW,sophia,,,,,
Dia 9: Noite ~ Emboscada / Observar,41qg2kloblism6294n2m6lrm4k.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 9: Emboscada / Derrota,1bmblpmbttji0n44r7v3d5k08u.epk_dec,Cão,Revisando,UBW,,,,,,
Dia 9: Emboscada / Assassino,0kiigbvd5rj0ba7ljlih8l2802.epk_dec,,Não Checado,UBW,,,,,,
"Dia 9: Emboscada / Contra-ataque, Magia de Projeção",6agl712tbke9ht8j8lncs18nlf.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / O conto de um cavaleiro.,619a382okr2ip4ejiqop5pl5fp.epk_dec,,Não Checado,UBW,,,,,,
Dia 9: Manhã ~ Após a escola / Convidado do Templo Ryudou,50k4olj41fe0b8uth8tj0rt4qv.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Cem movimentos da víbora,3u4s3r2ccksgl4vrcinpjc3gad.epk_dec,,Não Checado,UBW,,,,,,
Dia 9: Sono / Rebote,6jgpn15bj5ha24hi1be9jjn5cq.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Descendente de Napishtim,5d8ta35ov48cakr53099mn4b7f.epk_dec,,Não Checado,UBW,,,,,,
Dia 9: Emboscada / Mestre da Caster,69e8hrnodmjrpa6u9r60lempm0.epk_dec,,Não Checado,UBW,,,,,,
"Dia 9: Noite ~ Interseção / Falha na operação, dúvidas da Rin",45pp3ne90eto6qqs3fht07vh03.epk_dec,,Não Checado,UBW,,,,,,
Tiger Dojo 19,16d1aci7ojncu47q5l6u240apd.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Antes do jantar / Fuji-nee VS Rin,6ckkp779o5uc57d6fas4rm6hnl.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Noite / Sobre Projeção,661br1dtell7khigl3k9ep1hbt.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Noite - dojo / Wild Wild England,3krugp61ua8dbggbr582hrebh8.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Noite - sala / De quem você gosta mais?,2k8vgolvkna8mcb1665j36fp15.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Noite - corredor / Rin Tohsaka (V) ~ Ferida do Shirou,6a1su184a1utsj6jcjsrlgn6rh.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Levantando ~ Escola ~ Retorno / Lado esquerdo dormente,7n50982nh5hhq0mp1t89v0bpqn.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Tarde / Rin contra-ataca!,67985306bqt0l5lukkgjpsjjff.epk_dec,,Não Checado,UBW,,,,,,
Dia 10: Sono ~ Galpão / Treino noturno ~ Aviso,5m7hk0knlka3lnp1dgapjrdo8f.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Início da manhã / O caso da fatia de pão desaparecida,3vbhlocbkb6p1e0f76032jorge.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Início da manhã - casa de hóspedes / Você é o culpado,69rn67nghbnqgp3enpnph1aamv.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Início da manhã ~ / A lenda mais rápida de Miyama,5osdu5e16drft7m9f7cjc54g0q.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Quarto de hóspedes da Rin / Bom dia?,6hgml9litnseig8du4ah553oak.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Shinto / Especial?,0pfo32ij6c1vio7nqt8mh060ub.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Cápsula / Névoa,0nqll9016nb58fofeb3bn1mq77.epk_dec,,Não Checado,UBW,sophia,,,,,
Rejeição / Distorção (III) ~ Rule Breaker,5lufa6gsf2417slk8roqa825d9.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Tarde - retorno / Ataque da Caster,2lj55cl8c4to2bbirrproti7mv.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: ~ Para o distrito comercial / Acendendo o sinal de vida,56qfmbqdr2fhtasqbd3crscl2e.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Café da manhã / Pegando um criminoso,6gqs97vf5sos2afv5gsvcls8f4.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Manhã / Vamos em um encontro!,4h4ggnl2fabbkfhhut3u71d4gm.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Fugindo ~ Para a casa Tohsaka / Recuando da frente de batalha,76ra1am2aian0npb3m53es25g2.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Trama da bruxa,0cjtb5fnsn4s0d076r6kerb809.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Retorno ~ Meu quarto / Um motivo para lutar,4dmrtftkef67c1tjimlqu25dt5.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Rin Tohsaka (VI),05jpk6e9acl9kb4kql2eg0bdd5.epk_dec,,Não Checado,UBW,,,,,,
Dia 11: Noite - telhado do prédio / Distância,1le014b061djied9vi8h09egjc.epk_dec,,Não Checado,UBW,,,,,,
Tiger Dojo 20,3hbs0ibl9ra3ro6i1nnrve9fdn.epk_dec,,Não Checado,UBW,sophia,,,,,
Interlúdio / Cavaleiro cativo,0hrbp47rjqc7i1ub51gs22upl4.epk_dec,,Não Checado,UBW,sophia,,,,,
Dia 12: Para a batalha / Fonte de informação,4i9a86dpgfcf27462ogcrn8rj4.epk_dec,,Não Checado,UBW,sophia,,,,,
Dia 12: Para a batalha / Decisão,0h311lf4ptkl82eaj65768le13.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Para Shinto / Busca por isca,2vsdrl5dc1446pjqsvkn2d5sfo.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Igreja ~ Palma / Fantasma Nobre artificial,3hgslp65r5vonmmdfq939bks67.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Igreja / Má sorte,6napc11b9codv18mcngaapsknt.epk_dec,,Não Checado,UBW,sophia,,,,,
Dia 12: Noite ~ Porão da igreja / Rin confronta Caster,688j99u94qda7hm6s9mmgu2vbv.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Porão da igreja / Espada e feitiço,22b3ua6aq2r8m3e120notiedlk.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Confronto / Deserção,7396f589cadjjt10ephqanfbrm.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Confronto / Resistência corporal,7bdhd8iej8i00h3udj9ifi8e4s.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Confronto / Projeção desesperada ~ Sobrevivência,62e37bots5pdks3elfq4ni3l2o.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Igreja ~ Palma / Fantasma Nobre artificial,4tgfn90qsop1btlfnt8s6s9u9s.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Igreja ~ Palma / Fantasma Nobre artificial,7udca5vljhff924bb1dl905jnd.epk_dec,,Não Checado,UBW,,,,,,
Interlúdio / Unlimited...,1arrlbq5cpo1mnbc54vtqa2dqs.epk_dec,,Não Checado,UBW,,,,,,
"Dia 12: Noite, cemitério estrangeiro / Rin Tohsaka (VII)",6tgj9bv3cb7bmpo0hu8jiuebhb.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Retorno ~ Jantar / Um jantar quente,68ljsji0p71fpv3pouipdp6s84.epk_dec,,Não Checado,UBW,sophia,,,,,
"Dia 12: ~ Cochilo / Definindo uma direção, sono",1rbb2ukj53njsneqp79defcg1u.epk_dec,,Não Checado,UBW,,,,,,
Dia 12: Reunião estratégica / Existe uma forma de quebrar o impasse?,70cus8vbj0ighejsent6losbg6.epk_dec,,Não Checado,UBW,,,,,,
O sorriso da Rin / Assustador,5e9oghdj2e2aohv4ln0uqu5563.epk_dec,,Não Checado,UBW,,,,,,
A melancolia da Rin / Sério,427jvc8q7stm638g7iu7pars56.epk_dec,,Não Checado,UBW,,,,,,
O sorriso da Rin / Meio fofo,50cfuk6tsa3clojfi23jppd5g3.epk_dec,,Não Checado,UBW,,,,,,
Tiger Dojo 21,3uqbpgeii0so3djoc2s7op2k6l.epk_dec,PH,Revisado,UBW,sophia,@Cão tem uma imagem pra deixar em PT-BR aqui,,,,
Tiger Dojo 22,5ig1jr0lcev6ikafslrcbdh526.epk_dec,,Não Checado,UBW,sophia,,,,,
